file_name,width,height,timestamp,format,f_description,file
RGB_20211110142739,1920,1080,20211110142739,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110142739,1920,1080,20211110142739,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110142759,1920,1080,20211110142759,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110142800,1920,1080,20211110142800,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143040,1920,1080,20211110143040,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143040,1920,1080,20211110143040,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143100,1920,1080,20211110143100,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143100,1920,1080,20211110143100,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143121,1920,1080,20211110143121,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143121,1920,1080,20211110143121,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143141,1920,1080,20211110143141,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143141,1920,1080,20211110143141,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143201,1920,1080,20211110143201,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143201,1920,1080,20211110143201,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143222,1920,1080,20211110143222,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143222,1920,1080,20211110143222,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143242,1920,1080,20211110143242,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143242,1920,1080,20211110143242,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143304,1920,1080,20211110143304,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143304,1920,1080,20211110143304,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143324,1920,1080,20211110143324,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143324,1920,1080,20211110143324,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
RGB_20211110143345,1920,1080,20211110143345,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\color.jpg
D_20211110143345,1920,1080,20211110143345,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA_timeframe\Smooth_mapped.png
